Species Name,Common Name
"Artemisia pallaris, Artemisia vulgaris, Artemisia vulgaris var. nilagirica",Mugwort
"Artemisia pallaris, Artemisia vulgaris, Artemisia vulgaris var. nilagirica",Indian Wormwood
"Artemisia pallaris, Artemisia vulgaris, Artemisia vulgaris var. nilagirica",Fleabane
Arundinaria pumila,Bamboo Ultra Dwarf
Asclepias curassavica aurea,Asclepias Yellow Flowered
Asclepias curassavica aurea,Blood Flower Yellow
Asparagus densiflorus compacta,Compact Asparagus
Asparagus densiflorus plumosus,Bridal Fern
Asparagus meyerii,Fox Tail Asparagus
Asparagus sprengerii,Asparagus Sprengerii
Asparagus sprengerii,Sprengeri Fern
Aspidistra elatior 'variegata',Variegated Cast-iron Plant
Aspidistra elatior maculata,Cast Iron Plant Milky Way
"Aspidistra elatior, A. lurida",Cast Iron Plant
Asplenium nidus,Fern Birds Nest
Aster amellus alba,Daisy Michaelmus White
Aster amellus lilac,Daisy Michaelmus Lilac
Aster amellus magenta,Daisy Michaelmus Magenta
Aster amelus flore pleno hybrids,Perennial Aster Double Flowered
Asystasia coromandalina,Asystasia
Asystasia coromandalina,Abelia
Asystasia coromandalina alba,Asystasia White Flowers
Asystasia coromandalina flava,Asystasia Lemon Flowers
Asystasia coromandalina purpurea,Asystasia Purple Flowers
Asystasia coromandalina variegata,Abelia Variegated
Asystasia coromandalina variegata,Asystasia Varigated
Asystasia coromandalina variegata,Glossy Abelia
Asystasia coromandalina variegata,Mosaic Abelia
Asystasia intrusa,Common Asystasia
Asystasia intrusa,Chinese Violet
Asystasia intrusa,Coromandel Primrose
Asystasia species variegata,Asystasia Mosiac Variegated
Azalea hybrids double,Azalea Double
"Azalea hybrids mini, Azalea dwarf",Azalea Mini
"Azalea hybrids mini, Azalea dwarf",Azalea Kurume Hybrids
Azalea hybrids single,Azalea Single Flowered
Barleria lawii,Law's Barleria
"Barleria montana, Barleria purpurea",Mountain Barleria
Barleria repens,Red Barleria
Barleria repens,Small Bush Violet
Barleria repens,Berleria
Barleria repens,Barleria Groundcover
Barleria species alba,Marleria White
Begonia rex confetti,Begonia Confetti
Begonia semperflorens bronze leaf,Begonia Fibrous
Begonia semperflorens bronze leaf,Wax Begonia
Begonia semperflorens green leaf,Begonia Green Leaf
Begonia tom ment,Cane Begonia
Begonia x hybrida dragon wings,Begonia Dragon Wings
Beleperone guttata flava,Shrimp Plant Yellow
Beleperone guttata rubra,Shrimp Plant Red
"Beleperone species, Justecia species",Shrimp Flower Orange
Beta vulgaris,Beet Root
Blechnum gibbum,Blechnum
Blechnum gibbum,Pygmy Tree Fern
Brassica oleracea acephala crispa,Ornamental Kale
"Breynia nivosa nana, Phyllanthus nivosus nanus",Snow Bush Mini
Caladium hortulanum,Caladium
Caladium hortulanum,Fancy Leaved Caladium
Calendula officinalis,Pot Marigold
"Callisia repens purpurea, Tradescantia minima purpurea",Turtle Vine
"Callisia repens purpurea, Tradescantia minima purpurea",Purple Sedum
"Callisia repens, Tradescantia minima",Turtle Vine
Callistemon viminalis little john,Dwarf Bottle Brush
Callistephus chinensis,China Aster
Callistephus chinensis,Annual Aster
Canna gernalis red,Canna Red Leaved
Canna gernalis shocking pink,Canna Shocking Pink Tall
Canna limbata,Canna Single Flowered
Canna malawiensis variegata,Canna Yellow Variegated
Canna malawiensis variegata rubra,Canna Red Variegated
Canna x generalis alba,Canna
Canna x generalis alba,Indian Shot
Canna x generalis bengal tiger,Variegated Canna
Canna x generalis golden,Canna Golden Yellow
Canna x generalis golden,Canna Dwarf Golden
Canna x generalis light pink,Canna Dwarf Light Pink
Canna x generalis light yellow,Canna Light Yellow
Canna x generalis light yellow,Canna Cream
Canna x generalis lineata red,Canna Red Dwarf
Canna x generalis lineata red,Indian Shot
Canna x generalis lineata salmon,Canna Salmon
Canna x generalis lineata yellow,Canna Dwarf Yellow
Canna x generalis lineata yellow & orange,Canna Yellow Flowering Dwarf
Canna x generalis orange,Canna Orange
Canna x generalis red,Canna Dwarf Broad Petal Red
Canna x generalis scarlet,Canna Scarlet Dwarf
Canna x generalis tiger,Canna Tiger Dwarf
Cardiospermum halicacabum,Balloon Vine
Cardiospermum halicacabum,Heartseed
Carex bronze,Carex Bronze
Carex bronze,Brown Grass
Carex morrowii variegata,Carex Grass Variegated
Carex morrowii variegata,Japanese Sedge Grass
Carex morrowii variegata,Variegated Sedge Grass
Carmona microphylla,Malpighia Wax
Carmona microphylla,Fukien Tea
Carmona microphylla aurea,Carmona Aurea. Malphigia Yellow
Carmona microphylla bonsai,Malpighia Wax
Carmona microphylla bonsai,Carmona Microphylla Bonsai
Carmona microphylla hedge / edge,Carmona Microphylla Hedge
Carmona microphylla hedge / edge,Carmona Microphylla Edge
Carmona microphylla topiary,Carmona Microphylla Topiary
Carmona microphylla variegated,Carmona Microphylla Variegated
Casthamus tinctorius,Safflower Ornamental
Catharanthus rosea,Periwinkle
Catharanthus rosea,Vinca Ordinary
Catharanthus rosea alba,Vinca White
Catharanthus rosea alba,Periwinkle
Catharanthus rosea pendula,Trailing Vinca
Catharanthus rosea x hybrida,Vinca Hybrids
Catharanthus rosea x hybrida,Madagascar Periwinkle
Centella asiatica,Brahmi Big Leaved
Centella asiatica,Brahma-manduki
Centella asiatica,Brahm
Chamaemelum nobile,Chamomile Roman
Cheilanthus parinosa,Common Silver Fern
Chlorophytum alismefolies,Broad Yellow Leaf Chlorophytum
Chlorophytum alismefolies,Yellow Spider Plant
Chlorophytum bichetii,St. Bernards Lily
Chlorophytum comosum,Spider Plant Variegtaed
Chlorophytum comosum variegatum,Ribbon Spider Plant
Chlorophytum comosum variegatum,Walking Spider
Chlorophytum comosum vittatum,Spider Plant
Chlorophytum laxum,Spider Plant Dwarf
"Chlorophytum orchidastrum, C. amaniense",Chlorophytum New
Chrysanthemum anethifolius,Daisy
Cissus rhombifolia ellen danica,Grape Ivy
Cissus rhombifolia ellen danica,Grape Ivy Ellen Danica
Cissus rhombifolia grape ivy,Grape Ivy
Clematis species,Clematis
Clerodendrum paniculatum,Clerodendrum Red Terminal Flowering
Clerodendrum paniculatum,Kashmir Bouquet
Clivia miniata,Kafir Lily
Clivia miniata,Orange Lily
Coleus aromatica,Ajwain
Coleus aromatica variegata,Owa Variegated
Coleus aromatica variegata,Ajwan Variegated
Coleus blumei hybrids,Coleus Mix
Coleus rehneltianus,Coleus Mini
"Convolvulus martinanus, Evolvulus glomerotus",Blue Flowers
Coreopsis species,Coreopsis Species
"Cortaderia selloana, C. argentea",Pampas Grass
"Cotyledon orbiculata, Kalanchoe thyrsiflora",Cotyledon
"Cotyledon orbiculata, Kalanchoe thyrsiflora",Pig Ear
Cotyledon undulata,Silver Crown
Crassula hottentot,Rosary Plant
Crassula ovata,Jade Green
Crassula ovata,Jade Plant
Crinum amabile,Giant Spider Lily
Crinum amabile,Giant Blood Lily
Crinum asiaticum,Blood Lily
Crinum asiaticum,Poison Bulb
Crinum japonicum variegatum,Japanese Variegated Crinum
Crinum latifolium,Crinum Latifolium
Crinum moorei album,Crinum
Crinum moorei album,Blood Lily
Crinum procerum variety splendens,Giant Crinum Lily
Crinum variegatum,Variegated Crinum Lily
Crinum x powellii,Powells Swamp Lily
Crinum xanthophyllum,Crinum Yellow
Crossandra undulaefolia lutea,Crossandra Yellow
Crossandra undulaefolia soundarya,Crossandra Soundarya
Cryptanthus bivittatus,Cryptanthus
Cryptanthus bivittatus,Star Plant
Cryptanthus bivittatus red starlite,Cryptanthus Red
Cryptanthus fosterianus,Stiff Pheasant - Leaf
Crysothemis pulchella,Crysothemis Pulchella
Crysothemis pulchella,Black Flamingo
Crytocereus anthonyans,Anthonys Rick Rack
Crytomium fulcatum,Japanese Holly Fern
Ctenanthe setosa,Silver Ctenanthe
Cuphea hyssopifolia aurea,Cuphea Golden
Cuphea hyssopifolia hybrid light purple,Cuphea Light Purple
Cuphea hyssopifolia hybrid purple,Cuphea Dark Purple
Cuphea hyssopifolia hybrid white,Cuphea White
Cuphea ignea,Cigar Plant
Cuphea melvillea,Bush Cuphea
Curculigo capitulata,Curculigo
Curculigo capitulata,Ground Orchid
Curcuma species,Wild Turmeric Yellow
Cymbopogon floxosus,Lemon Grass
Cymbopogon floxosus,Citronella Grass
Cynadon dactylon,Bermuda Grass
Cynadon dactylon,Hariyali
Cynadon dactylon,Haryali
Cynadon dactylon,Bermuda Lawn
Cyperus albostriatus vareigatus,Cyperus Vareigated
"Cyperus alternifolius gracilis, C. alternifolius strictus",Miniature Umbrella Grass
Cyperus diffusus,Broadleaf Umbrella Plant
Cyperus diffusus,Dwarf Cypreus
"Daedalacanthus nervosus, Eranthemum pulchellum",Daedalacanthus Nervosus
Davallia griffithiana,Large Rabbit Foot Fern
Davallia species,Dwarf Davallia
Davallia species,Davallia Mini
Davallia trichomanoides,Small Rabbit Foot Fern
Dendranthema big bronze,Chrysathemum Big Bronze
Dendranthema blue moon,Chrysathemum Blue Moon
Dendranthema bronze,Chrysathemum Bronze
Dendranthema hybrids,Chrysanthemum Hybrids
Dendranthema pink,Chrysanthemum Pink
Dendranthema red,Chrysanthemum Red
Dendranthema white,Chrysanthemum White
Dendranthema yellow,Chrysanthemum Yellow
Dianella tasmanica,Dianella Green
Dianella tasmanica aurea,Green Dianella Grass
Dianella tasmanica variegata,White Daniella Grass
Dianthus barbatus,Sweet William
Dianthus barbatus,Bunch Pinks
"Dianthus chinensis, D. sinensis",Japanese Pink
"Dianthus chinensis, D. sinensis",Heddewigii
Dianthus x hybridum,Dianthus Hybrid
"Dichondra micrantha, D. carolinensis, D. repens",Round Leaf Lawn
"Dichondra micrantha, D. carolinensis, D. repens",Dichondra Lawn
Dracaena sanderiana variegata,Variegated Lucky Bamboo
Dracaena sureulosa aurea,Yellow Spotted Bamboo Dracaena
Duranta lorentzii goldii,Duranta Golden
Duranta lorentzii goldii,Duranta Golden Dewdrops
Duranta repens alba,Duranta Alba
Duranta repens variegata,Sky Flower
Duranta repens variegata,Duranta Variegated
"Duranta repens, D. plumieri",Pigeon Berry
"Duranta repens, D. plumieri",Golden Dew Drop
Duranta speciosa,Duranta Speciosa
Duranta speciosa sunshine,Duranta Sunshine
Duranta speciosa sunshine,Duranta Mejor
Echeveria agavoides,Echiveria Red
Echeveria agavoides,Wax Agave
Echeveria agavoides,Moldfo Wax
Echeveria agavoides,Moulded Wax
Echeveria peacockii,Lotus Cactus
Echeveria peacockii,Peacock Echeveria
Echeveria peacockii,Rose Cactus
Echeveria species blue grey,Echeveria Blue Grey
Echeveria species brown,Echeveria Brown
Echeveria species plush plant,Plush Plants
Echeveria species plush plant,Flowering Echeveria
Epipremnum aureum goldii,Money Plant Golden
Epipremnum aureum hicolor,Money Plant Variegated
Epipremnum aureum marble prince,Money Plant Marble Prince
Epipremnum aureum marble prince,Money Plant Enjoy
Epipremnum aureum marble prince,Moneyplant N'joy
"Epipremnum aureum marble queen, Scindapsus aureus marble queen",Marble Queen Money Plant
"Epipremnum aureum, Scindapsus aureus",Money Plant
Epipremnum pinnatum,Epipremnum Pinnatum
Episcia cuperata,Episcia Green
Episcia cuperata frosty,Episcia Green And Silver
Episcia cuperata frosty,Flame Episcia
Episcia lilacina,Episcia Brown
Episcia lilacina,Costa Rica
Episcia lilacina,Blue Flowered Teddy-bear
Episcia lilacina var pink panther,Episcia Lilacina Pink
Eranthemum bicolor nana,Kodia Yellow Mini
Eranthemum laxiflorum,Eranthemum Flowering
Eranthemum laxiflorum,Kodia Purple
Eranthemum nigrum,Black Kodia
Eranthemum purpureum,Kodia Purple Leaves
Eschscholtzii californica,California Poppy
Eucharis korsakoffii,Miniature Amazon Lily
Euonymous japonica variegata,Euonymous Variegated
Euphorbia geraldii,Kiss Me Quick
Euphorbia geraldii,Thornless Euphorbia
Euphorbia punicea,Jamaican Poinsettia
Festuca glauca,Blue Fescue
Ficus long island,Ficus Long Island
"Ficus macrophylla, F. macrocarpa",Moreton Bay Fig
"Ficus macrophylla, F. macrocarpa",Australian Banyan
Ficus pumila,Ficus Repens
Ficus pumila,Creeping Fig
Ficus pumila aurea,Variegated Creeping Fig
Ficus radicans,Rooting Fig
Ficus salicifolia,Ficus Salicifolia
Fittonia species,Fittonia Species
Fittonia verschaffeltii,Fittonia Both Big & Small Leaved
Fittonia verschaffeltii,Mosaic Plant
Fittonia verschaffeltii nana,Fittonia Small Leaved
Fragaria × ananassa,Garden Strawberry
Fransicea japonica,Yesterday Today Tomorrow
Gaillardia pulchella,Gaillardia
Gardenia jasminoides veitchii variegata,Jasmine Rose Variegated
Gardenia jasminoides veitchii variegata,Gardenia Mini Variegated
Gazania rigens nanus,Dwarf Gazania
Gerbera jamesonii dwarf spider hybrids,Gerbera Pot Plant Spider Variety
Gerbera jamesonii dwarf black heart hybrids,Gerbera Pot Plant Black Heart
Gerbera jamesonii dwarf black heart hybrids,Black Center Variety
Gerbera jamesonii dwarf hybrids,Gerbera Pot Plant Variety
Gerbera jamesonii dwarf hybrids,Transvaal Daisy
Gerbera jamesonii hybrids,Gerbera Daisy
Gerbera jamesonii hybrids,Barberton
Gerbera jamesonii hybrids,Transvaal Daisy
Gerbera jamesonii hybrids,Gerbera Cut Flower Variety
Gomphrena globosa,Globe Amaranth
Graphtophyllum pictum,Graphtophyllum Green & Yellow
Graphtophyllum pictum,Caricature Plant
"Gynura bicolor, Gynura angulosa",Oakleaved Velvet Plant
Gynura x sarmentosa,Gynura
Gynura x sarmentosa,Velvet Plant
Gynura x sarmentosa,Purple Passion Vine
Gypsophila paniculata,Babys Breath
Gypsophila paniculata,Gypsophylla
Gypsophila paniculata,Million Stars
Habenaria susnannae,Habenaria Susnannae
Haemaria discolor dawsoniana,Jewel Orchid
Haemaria discolor dawsoniana,Leaf Orchid
Hamerocallis hybrids,Day Lily
Hamerocallis hybrids,Tiger Lily
Haworthia tisleyi,Haworthia Grey Spotted
Haworthia venosa,Haworthia Green
Hedera helix,English Ivy
Hedera helix,Ivy
Hedera helix variegata,Ivy Variegated
Helichrysum bracteatum,Straw Flower
Helichrysum bracteatum,Australian Strawflower
Heliconia psittacorum andromeda,Heliconia Orange Red Upright
Heliconia psittacorum andromeda,Parrot Flower
Heliconia stricta dwarf jamaican,Heliconia Dwarf Jamaican
Helxine soleirii,Babys Tears
Helxine soleirii,Irish Moss
Helxine soleirii,Mind-your-own-business
Helxine soleirii,Japanese Moss
Hemanthus multifidus,Football Lily
Hemanthus multifidus,May Lily
Hemigraphis colorata exotica,Hemigraphis
Hemigraphis colorata exotica,Purple Waffle Plant
"Hemigraphis repanda, Ruellia repanda",Epigraphis
"Hemigraphis repanda, Ruellia repanda",Narrow Leaf Hemigraphis
Herbstii acuminata,Painted Blood Leaf
Herbstii acuminata,Iresine
Hibiscus rosa sinensis rose flakes,Hibiscus Pink Tips New
Hibiscus rosa sinensis rose flakes,Hibiscus Rose Flakes
Hibiscus rosa sinensis rose flakes,Shoe Flower
Hippeastrum hybridum,Amaryllis Lily
Hippeastrum hybridum,Trumpet Lily
Hippeastrum reticulatum striatifolium,Striped Leaf Amaryallis Lily
Hydrangea macrophylla,Hydrangea
Hydrangea macrophylla,Mophead Hydrangea
Hydrangea macrophylla hybrids,Hydrangea Hybrids
Hydrocotyle umbellata,Giant Floating Pennywort
Hymenocallis littoralis,Spider Lily
Hymenocallis littoralis,Beach Spider Lily
Hymenocallis littoralis variegata,Spider Lily Variegated
Hymenocallis narcissiflora,Peruvian Daffodil
Hymenocallis narcissiflora,Narrow Leaf Spider Lily
Hypocyrta glabra,Lip Stick Plant
Hypoestes sanguinolenta blush,Polka Dot Blush
Hypoestes sanguinolenta pink,Polka Dot Pink
Hypoestes sanguinolenta red,Polka Dot Red
Hypoestes sanguinolenta red,Freckleface
Hypoestes sanguinolenta white,Polka Dot White
Impatiens repens,Hanging Impatiens
Impatiens balsamina,Balsam
Impatiens balsamina,Garden Balsam
Impatiens balsamina,Rose Balsam
Impatiens balsamina,Spotted Snapweed
Impatiens new guinnea hybrida,New Guinnea Impatiens
Impatiens wallerania double,Double Impatiens
Impatiens wallerania double,Double Balsam Perennial
Impatiens wallerania star varieties,Star Impatiens
Impatiens wallerania star varieties,Star Perennial Balsam
"Impatiens wallerania, Impatiens sultani",Impatiens
"Impatiens wallerania, Impatiens sultani",Perennial Balsam
"Impatiens wallerania, Impatiens sultani",Busy Lizies
"Impatiens wallerania, Impatiens sultani",Sultans Balsam
"Impatiens wallerania, Impatiens sultani",Japanese Balsam
Ipomoea aquatica,Water Ipomea
Ipomoea aquatica,Water Morning Glory
Ipomoea aquatica,Swamp Cabbage
Ipomoea aquatica,Aquatic Morning Glory
Ipomoea aquatica,Chinese Water Spinach
Ipomoea batatas,Sweet Potato
Ipomoea batatas,White Potato
Ipomoea batatas,Irish Potato
Ipomoea batatas black ace,Ipomoea Black Ace
Ipomoea batatas purpurea,Ipomoea Purpurea
Ipomoea batatas-chartreuse,Ipomoea Golden
Ipomoea batatas-chartreuse,Sweet Potato Vine
Ipomoea batatas-chartreuse,Yam
Ipomoea tricolor,Ipomoea Pink Prince
Ipomoea tricolor,Rubro Coerulea
"Iresine herbstii, Achyrnthes verschaffeltii",Red Beefsteak Plant
Iresine lindenii,Blood Leaf
Iresine lindenii,Iresine
Iris pallida argentea,Variegated Orris
Iris species,Iris Species
Iris species,Iris Lily
Ixora chinensis,Ixora Orange Dwarf
Ixora chinensis,Chinese Ixora
Ixora nerifolia,Narrow Leaf Ixora
Ixora sunkist hybrid orange,Ixora Mini Orange
Ixora sunkist hybrid pink,Ixora Mini Pink
Ixora sunkist hybrid white,Ixora Mini White
Ixora sunkist hybrid yellow,Ixora Mini Yellow
Ixora x hybrida var butterfly,Ixora Butterfly
Jacobinia amherstia,Jacobina Single Pink
Jacquemontia violacea,Jacquemontia
"Juniperous prostata, J. horizontalis",Juniper Cascading
"Juniperous prostata, J. horizontalis",Creeping Juniper
Juniperous variegatus,Variegated Juniper
"Justicia brandegeana cocktail, Beleperone brandegeana cocktail",Pink Shrimp Plant
"Kaempferia pulchra silver spot, Kaempferia atrovirens",Maranta Silver Spot
Kalanchoe blossfeldiana florepleno hybrida,Kalanchoe Double
Kalanchoe blossfeldiana hybrids,Kalanchoe
Kalanchoe blossfeldiana hybrids,Kalanchoe Single
Kalanchoe blossfeldiana variegata,Variegated Kalanchoe
Kalanchoe orgyalis,Brown Kalanchoe
Kalanchoe tomentosa ovifolium,Mickeys Ears
"Kalanchoe tubiflora, Bryophyllum tubiflorum",Chandelier Plant
"Kalanchoe tubiflora, Bryophyllum tubiflorum",Mother-of-millions
Kochia scoparia,Kochia
Kochia scoparia,Fire Bush
Kochia scoparia,Summer Cypress
Kochia scoparia,Belvedere Cypress
Kochia scoparia,Burning Bush
Kochia scoparia,Mexican Fireweed
Lamium hermanus,Silver Leaf Ground Cover
Lantana camara erecta depressa,Lantana Yellow Erect Growing
Lantana camara erecta red,Lantana Red Erect Growing
Lantana camara erecta red,Wild Sage
Lantana camara semi erecta gold drop,Lantana Yellow Semi Erect Growing
Lantana camara semi erecta gold drop,Lantana Gold Drop
Lantana camara semi erecta lemon drop,Lantana Lemon Semi Erect Growing
Lantana camara semi erecta multicolor,Lantana Orange Pink Semi Erect Growing
Lantana camara semi erecta rubra variegata,Lantana Red Variegated Semi Erect Growing
Lantana camara semi erecta variegata,Lantana Yellow Variegated Leaves Semi Erect Growing
Lantana camara semi erecta white drop,Lantana White Semi Erect Growing
Lantana montevidensis alba,Lantana White Creeping
Lantana sellowiana,Lantana Purple Creeping
Leucanthemum x superbum,Shasta Daisy
Limonium sinuatum,Statice
Limonium sinuatum,Sea Lavender
Lobelia erinus,Lobelia
Lobelia erinus,Lobelia
Lobelia erinus,Edging Lobelia
Lobelia erinus,Annual Lobelia
Lobelia erinus,Trailing Lobelia
Lobularia maritima,Sweet Alyssum
Lonicera japonica,Japanese Honeysuckle
"Malpighia punicifolia, M. glabra",Pink Flowering Malpighia
"Malpighia punicifolia, M. glabra",
Maranta arundinacea variegata,Arrow Root
Maranta leuconeura,Rabbits Tracks
Maranta leuconeura,Prayer Plant
Maranta leuconeura,Rabbit's Foot
Maranta leuconeura,Herringbone Maranta
"Maranta zebrina, Calathea zebrina",Calathea Zebrina
"Matthidla incana, M. annua, M. grarca",Stock
"Matthidla incana, M. annua, M. grarca",Gill Flowers
"Matthidla incana, M. annua, M. grarca",Garden Stock
"Matthidla incana, M. annua, M. grarca",Common Stock
Melampodium paludosum,Million Gold
Melampodium paludosum,Butter Daisy
"Melastoma lepidota, Tibouchina lepidota",Melastoma Dwarf
Mentha pulegium,Pennyroyal
Mentha pulegium,Penny Royal
Mentha x piperita,Peppermint
Mentha x piperita,Mint
"Meyenia erecta alba, Thunbergia erecta alba",Meyenia White
"Meyenia erecta nana, Thunbergia erecta nana",Meyenia Erecta Mini
"Meyenia erecta purpurea, Thungerbia erecta purpurea",Meyenia Erecta Purple
Mimosa pudica,Touch Me Not
Mimosa pudica,Sensitive Plant
Neoregelia carolinae marginata,Blushing Bromeliad
Neoregelia carolinae tricolor,Striped Blushing Bromeliad
Neoregelia hybrids,Neoregelia
Neoregelia tricolor,Common Neoregelia
Nephrolepis acuminata,Sword Fern
"Nephrolepis acuminata crestata, N. acuminata petticoat",Crested Sword Fern
"Nephrolepis acuminata crestata, N. acuminata petticoat",Petticoat Fern
Nephrolepis biserrata,Fish Tail Fern
Nephrolepis biserrata aurea,Golden Fish Tail Fern
Nephrolepis biserrata compacta,Compact Fish Tail Fern
"Nephrolepis biserrata nerifolia, N. biserrata 'furcans mini'",Narrow Fern Fish Tail
Nephrolepis cordifolia,Fern Small Leaf
Nephrolepis cordifolia,Button Fern
Nephrolepis dentata aurea,Dentate Fern
Nephrolepis exaltata aurea,Golden Fern
Nephrolepis exaltata aurea new,Golden Fern New
Nephrolepis exaltata aurea variegata,Variegated Golden Fern
Nephrolepis exaltata bosteniensis,Boston Fern
Nephrolepis exaltata bosteniensis compacta,Compact Boston Fern
Nephrolepis exaltata dallasii,Dallas Fern
Nephrolepis exaltata smithii,Cut Fern
Nephrolepis exaltata tripinnata,Nephrolepis Species
Nephrolepis exaltata undulata,Nephrolepis Undulata
Nephrolepis exaltata undulifolia,Wavy Margin Fern
Nephrolepis exaltata whitmanii,Common Lace Fern
Nephrolepis exaltata whitmanii,Large Lace Fern
Nephrolepis exaltata whitmanii compacta,Compact Lace Fern
Nicotiana alata,Jasmine Tobacco
Nicotiana alata,Flowering Tobacco
Nicotiana alata,Jasmine Tobacco
Nicotiana alata,Ornamental Tobacco
Ocimum basilicum thai siam queen,Basil Thai Siam Queen
Ocimum sanctum,Holy Basil
Ocimum sanctum,Tulsi
Ocimum sanctum krishna tulas,Indian Basil
Ocinum basilicum purple ruffles,Basil Purple Ruffles
Ociumum basilicum minette,Basil
Ociumum basilicum sabja,Sabza
Odomos,Odomos Grass
Ophiopogon jaburan,Ophiopogon Green
Ophiopogon jaburan variegata,Ophiopogon Variegated
Ophiopogon jaburan variegata,Giant Lily Turf
Ophiopogon jaburan variegata,Snakebeard
Ophiopogon jaburan variegata,White Lilyturf
Ophiopogon jaburan variegata,Aztec Grass
Ophiopogon japonicus,Monkey Grass
Ophiopogon japonicus,Mondo Grass
Ophiopogon japonicus kyoto dwarf,Dwarf Mondo Grass
Ophiopogon japonicus kyoto dwarf,Lily Turf
Ophiopogon japonicus kyoto dwarf,Dwarf Monkey Grass
Ophiopogon planiscapus nigresceus black dragon,Ophiopogon Black
Ophiopogon planiscapus nigresceus black dragon,Black Dragon
Opuntia microdasys,Bunny Ears
Origanum majorana,Marjoram
Orthosiphon stamineus,Moustache Flower
Oxalis hedysaroides rubra,Oxalis Red Mini
Oxalis hedysaroides rubra,Fire Fern
Oxalis hedysaroides rubra,Colombia Venez
Oxalis hedysaroides rubra,Ecuador
Oxalis hedysaroides rubra,Firefern
Oxalis triangularis,Oxalis Butterfly
Pandanus amaryltifolius,Basmati Plant
Pandanus amaryltifolius,Basmati Pandanus
Pandanus pygmaeus,Pandanus Dwarf
Pandanus pygmaeus,Pandanus Mini
Pandanus pygmaeus,Dwarf Screw Pine
Paphiopedilum insigne,Lady Slipper Orchid
Paspalum notatum,Paspalum Lawn
Paspalum notatum,Broad Leaved Lawn
Paspalum notatum,Bahia Grass
Pedilanthus tithymaloides,Devil's Backbone
Pedilanthus tithymaloides,Japanese Poinsettia
Pedilanthus tithymaloides,Slipper Spurge
Pedilanthus tithymaloides,Redbird Cactus
Pedilanthus tithymaloides,Christmas Candle
Pelargonium hortorum,Geranium Hybrids
Pelargonium hortorum,Bedding Geraniom
Pelargonium hortorum,Garden Geranium
Pelargonium hortorum,Zonal Geranium
Pelargonium hortorum variegatum,Geranium Variegated
Pelargonium peltatum,Geranium Ivy
Pelargonium peltatum flore pleno,Ivy Geranium Double
Pellionia pulchra,Pellionia
Pellionia pulchra,
Pellionia pulchra,Satin Pellionia
Pennisetum clandestinum,Kikuyu Grass
Pennisetum clandestinum,Kikuyu Lawn
Pennisetum rueppeli,Fountain Grass Red
Pennisetum species,Fountain Grass Green
Pentas lanceolata alba,Pentas White
Pentas lanceolata carnea,Pentas Dark Pink
Pentas lanceolata electric red,Pentas Red
Pentas lanceolata electric red,Pentas Electric
Pentas lanceolata hybrida,Pentas Hybrids
Pentas lanceolata lilac,Pentas Lilac
Pentas lanceolatus karmesiana,Pentas Orange - Red
Peperomia caperata emerald ripples,Peperomia Emerald Ripples
Peperomia caperata red ripples,Peperomia Red Ripples
Peperomia caperata silver ripples,Peperomia Silver Ripples
Peperomia caperata variegata,Peperomia Variegated
Peperomia clusifolia variegata,Peperomia Variegated - Long Leaves
Peperomia obtusifolia,Peperomia
Peperomia obtusifolia variegata,Pepromia Variegated
Peperomia obtusifolia variegata,Blunt Leaved
Peperomia obtusifolia variegata,Pepper Fala
Peperomia rotundifolia,Groundcover Pepromia
Peperomia sandersii,Peperomia Water Melon
"Peperomia scandens variegata, P. glabella variegata",Pepromia Trailing
"Peperomia scandens variegata, P. glabella variegata",Variegated Wax Privet
Pereskia godseffiana,Variegated Pereskia
"Perilepta dyerianus, Strobilanthes dyerianus.",Peacock Plant
"Perilepta dyerianus, Strobilanthes dyerianus.",Persian Shield
Peristrophe hyssoopifolia variegata,Marble Leaf
Petroselinum crispum,Parsley
Petunia grandiflora,Petunia Large Flowered
Petunia grandiflora double,Petunia Double
Petunia grandiflora star,Petunia Star
Petunia milliflora,Petunia Milliflora
Petunia multiflora picotee,Petunia Picotee
Petunia x hybrida,Petunia Trailing
Phaius tankervilleae,Nun's Orchid
Phaius tankervilleae,Nun's Cap Orchid
Phaius tankervilleae,Red Crane Orchid
Phaius tankervilleae,Swamp Lily
Phaius tankervilleae,Veiled Nun Orchid
Phalaris species,Ribbon Grass White
Philodendron hastatum,Spade Leaf Philodendron
Philodendron imperial red,Philodendron Cardinal
Philodendron lacerum,Bejuco Lombricero De Cana
Philodendron lacerum,Macusey Macho
Philodendron melanochrysum,Philodendron Black Gold
Philodendron moonshine,Philodendron Hybrid Compact Yellow
Philodendron moonshine copper,Philodendron Hybrid Compact Bronze
Philodendron painted lady,Philodendron Painted Lady
Philodendron pink princess,Philodendron Pink Variegated
Philodendron pittieri,Philodendron Pittieri
Philodendron scandens aureum,Philodendron Golden Trailing
Philodendron scandens oxycardium,Philodendron Green Trailing
Philodendron scandens oxycardium,Heart-leaf Philodendron
Philodendron scandens oxycardium,Cordatum
Philodendron scandens oxycardium variegatum,Philodendron Green Trailing New
Philodendron scandens oxycardium variegatum,Heart-leaf Philodendron New
Philodendron scandens oxycardium variegatum,Cordatum New
Philodendron selloum,Philodendron Lacy Tree
Philodendron selloum,Saddle Leaved Philodendron
Philodendron species emerald duke,Philodendron Green Leaved
Philodendron species red duchess,Philodendron Red Leaved
